move,observations,time step
"[0.1,0.0]","[[1.0055945598389282, 1.6882981020010808], [1.3365996118557726, 0.8088963441798872], [0.9986033382498756, -1.7004449754777309], [1.3312366039668628, -0.8324910385682894]]",0.2
"[0.1,0.0]","[[1.0239851810742284, 1.7236604598472212], [1.322870479340513, 0.8745433443797646], [1.0139664045004482, -1.6745831742743134], [1.3212908573593536, -0.8753484010007712]]",0.2
"[0.1,0.0]","[[1.007258728907315, 1.7621271748908711], [1.3114464987745722, 0.845382970407125], [1.0174494084164216, -1.7489428537539178], [1.2976755411402339, -0.8968208832392012]]",0.2
"[0.1,0.0]","[[1.0223235057928604, 1.7066610923677796], [1.3067206898206398, 0.8470563450989507], [1.032227883417135, -1.7370159214683694], [1.2880118269430054, -0.8738169406017023]]",0.2
"[0.1,0.0]","[[1.0170969144361657, 1.7462116332196638], [1.2937515159433088, 0.8489869903571063], [1.027475413036148, -1.7958894643358227], [1.2850619659112215, -0.9121176113168386]]",0.2
"[0.1,0.0]","[[1.0285120254183213, 1.75921582689484], [1.2721876124885698, 0.9497544257307476], [1.025551764983007, -1.8072427323389468], [1.2797348817655076, -0.9073212287289519]]",0.2
"[0.1,0.0]","[[1.0129993698892816, 1.775388092308174], [1.2584700023166582, 0.9048954295095588], [1.0356993015558535, -1.7728746803511592], [1.2779387985481725, -0.9476505485588081]]",0.2
"[0.1,0.0]","[[1.0380661605944972, 1.818358065709028], [1.2472738204310485, 0.9499966024616762], [1.0347770468334851, -1.8327479956634698], [1.2234435338160035, -0.9396322037729012]]",0.2
"[0.1,0.0]","[[1.0384716908249874, 1.833838551381025], [1.2200962941315834, 0.951754283052578], [1.0569845993704652, -1.8386876851933005], [1.220201251507898, -0.953193574374543]]",0.2
"[0.1,0.0]","[[1.0311990912401734, 1.8667716704606843], [1.2225717436650765, 0.9945028333216677], [1.0511084608482113, -1.8464371182151682], [1.2025897028148906, -0.9668453331561865]]",0.2
"[0.1,0.0]","[[1.0519763727668678, 1.877977777064881], [1.2023009876072148, 0.9936101695817015], [1.043095006779169, -1.8785471283219057], [1.2081754943004706, -1.0005768495431007]]",0.2
"[0.1,0.0]","[[1.0607912288969177, 1.8909519138215112], [1.178404862188486, 0.9983357080144803], [1.08434563778052, -1.8649539696676993], [1.1964816504466937, -1.0309321581785522]]",0.2
"[0.1,0.0]","[[1.0514955191977915, 1.8902215246933676], [1.1921427434670093, 1.0264086427760166], [1.0650396457820435, -1.9374017813488449], [1.185242689822002, -0.9732406061891732]]",0.2
"[0.1,0.0]","[[1.0823633958462957, 1.9314998618301695], [1.1844170815871369, 1.01160762055724], [1.0687065616190083, -1.9369295898553085], [1.1732039256655922, -0.988062327542649]]",0.2
"[0.1,0.0]","[[1.0808493263785781, 1.9556932443771438], [1.1676085700381533, 1.0307568043098498], [1.065374209422564, -1.94475233412608], [1.1566459983686088, -1.0047494491541629]]",0.2
"[0.1,0.0]","[[1.0781590036335802, 1.960106323304601], [1.1608245045134664, 1.0452840919055897], [1.0962537741940184, -1.9717963074990434], [1.1519492419628548, -1.0606466208236685]]",0.2
"[0.1,0.0]","[[1.0920864833757784, 1.997790953639917], [1.1469826118410873, 1.0417889556312365], [1.0889174515879825, -1.9943683505505343], [1.1380588418259108, -1.0434123867821208]]",0.2
"[0.1,0.0]","[[1.0843979134871227, 2.0196374928075165], [1.1377815210514355, 1.1034621983915072], [1.0855758652584466, -2.0129275804176565], [1.1325570016470077, -1.0694837830094912]]",0.2
